381757;1055;FLAKTVEIT LEGESENTER DA;2004-08-06 02:51:24.000;9999-12-31 23:59:59.997;128127;;2018-05-15 00:00:00.000;2018-05-16 00:00:00.000
381744;1055;FLAKTVEIT LEGESENTER DA;2004-08-06 02:51:24.000;9999-12-31 23:59:59.997;155852;;2021-09-09 00:00:00.000;2021-11-24 00:00:00.000
381750;1055;FLAKTVEIT LEGESENTER DA;2004-08-06 02:51:24.000;9999-12-31 23:59:59.997;168012;;2022-06-16 00:00:00.000;2022-08-29 00:00:00.000
227526;1057;AMS ALLMENNMEDISINSK SENTER DA;2004-08-06 02:51:24.000;9999-12-31 23:59:59.997;133050;;2019-07-04 00:00:00.000;2019-07-05 00:00:00.000
163749;1086;LENE VIE GANGÅS;2004-08-06 02:51:24.000;9999-12-31 23:59:59.997;81064;;2018-01-23 00:00:00.000;2018-01-24 00:00:00.000
163747;1086;LENE VIE GANGÅS;2004-08-06 02:51:24.000;9999-12-31 23:59:59.997;83535;;2018-08-15 00:00:00.000;2018-08-16 00:00:00.000
163752;1086;LENE VIE GANGÅS;2004-08-06 02:51:24.000;9999-12-31 23:59:59.997;121228;;2017-09-03 00:00:00.000;2017-09-04 00:00:00.000
258539;1111;EIDSVÅG LEGEKONTOR DA;2004-08-06 02:51:24.000;9999-12-31 23:59:59.997;80694;;2021-02-16 00:00:00.000;2021-07-03 00:00:00.000
258540;1111;EIDSVÅG LEGEKONTOR DA;2004-08-06 02:51:24.000;9999-12-31 23:59:59.997;80696;;2018-03-08 00:00:00.000;2018-03-09 00:00:00.000
258532;1111;EIDSVÅG LEGEKONTOR DA;2004-08-06 02:51:24.000;9999-12-31 23:59:59.997;92328;;2020-02-22 00:00:00.000;2020-02-23 00:00:00.000
258545;1111;EIDSVÅG LEGEKONTOR DA;2004-08-06 02:51:24.000;9999-12-31 23:59:59.997;99842;;2019-09-01 00:00:00.000;2019-09-02 00:00:00.000
258536;1111;EIDSVÅG LEGEKONTOR DA;2004-08-06 02:51:24.000;9999-12-31 23:59:59.997;107299;;2018-08-19 00:00:00.000;2018-08-20 00:00:00.000
258542;1111;EIDSVÅG LEGEKONTOR DA;2004-08-06 02:51:24.000;9999-12-31 23:59:59.997;121244;;2018-08-19 00:00:00.000;2018-08-20 00:00:00.000
258546;1111;EIDSVÅG LEGEKONTOR DA;2004-08-06 02:51:24.000;9999-12-31 23:59:59.997;129327;;2019-09-01 00:00:00.000;2019-09-02 00:00:00.000
258551;1111;EIDSVÅG LEGEKONTOR DA;2004-08-06 02:51:24.000;9999-12-31 23:59:59.997;130729;;2018-09-02 00:00:00.000;2018-09-03 00:00:00.000
